year,month,day,Upwelling (m^2/s)
1987,  10,  13,0.1734
1987,  10,  14,0.1593
1987,  10,  15,0.1452
1987,  10,  16,0.1310
1987,  10,  17,0.1169
1987,  10,  18,0.1028
1987,  10,  19,0.0886
1987,  10,  20,0.0745
1987,  10,  21,0.0604
1987,  10,  22,0.0462
1987,  10,  23,0.0321
1987,  10,  24,0.0180
1987,  10,  25,0.0529
1987,  10,  26,0.0216
1987,  10,  27,0.0971
1987,  10,  28,0.0761
1987,  10,  29,0.3957
1987,  10,  30,0.2217
1987,  10,  31,0.2913
1987,  11,   1,1.1630
1987,  11,   2,2.9939
1987,  11,   3,0.3223
1987,  11,   4,-0.0240
1987,  11,   5,-0.2792
1987,  11,   6,-0.0945
1987,  11,   7,0.4610
1987,  11,   8,0.1270
1987,  11,   9,0.5379
1987,  11,  10,0.1778
1987,  11,  11,0.1416
1987,  11,  12,0.7504
1987,  11,  13,1.1984
1987,  11,  14,3.4873
1987,  11,  15,2.1761
1987,  11,  16,1.0786
1987,  11,  17,0.2468
1987,  11,  18,-0.3117
1987,  11,  19,0.0096
1987,  11,  20,0.2238
1987,  11,  21,1.0913
1987,  11,  22,3.9659
1987,  11,  23,1.8674
1987,  11,  24,0.9704
1987,  11,  25,2.7737
1987,  11,  26,0.3684
1987,  11,  27,0.1383
1987,  11,  28,0.6636
1987,  11,  29,1.0254
1987,  11,  30,0.3077
1987,  12,   1,0.1941
1987,  12,   2,0.4743
1987,  12,   3,0.1345
1987,  12,   4,-0.7336
1987,  12,   5,-0.1595
1987,  12,   6,-1.0050
1987,  12,   7,0.9737
1987,  12,   8,1.1503
1987,  12,   9,0.4966
1987,  12,  10,1.9338
1987,  12,  11,3.7471
1987,  12,  12,5.8754
1987,  12,  13,2.3270
1987,  12,  14,0.0531
1987,  12,  15,-0.8461
1987,  12,  16,-7.9168
1987,  12,  17,-1.0878
1987,  12,  18,0.6468
1987,  12,  19,2.0069
1987,  12,  20,0.2253
1987,  12,  21,0.4635
1987,  12,  22,2.6435
1987,  12,  23,5.1917
1987,  12,  24,2.1387
1987,  12,  25,0.2114
1987,  12,  26,-0.2401
1987,  12,  27,-1.0475
1987,  12,  28,-1.4871
1987,  12,  29,0.2182
1987,  12,  30,0.7007
1987,  12,  31,0.4212
1988,   1,   1,0.0447
1988,   1,   2,-0.0567
1988,   1,   3,-0.2898
1988,   1,   4,-1.2332
1988,   1,   5,-1.5854
1988,   1,   6,0.4713
1988,   1,   7,0.1746
1988,   1,   8,0.6255
1988,   1,   9,1.5558
1988,   1,  10,1.1686
1988,   1,  11,2.9053
1988,   1,  12,3.2331
1988,   1,  13,0.5730
1988,   1,  14,0.2009
1988,   1,  15,0.3693
1988,   1,  16,0.2927
1988,   1,  17,-0.6878
1988,   1,  18,11.3864
1988,   1,  19,3.2520
1988,   1,  20,0.0561
1988,   1,  21,1.2991
1988,   1,  22,0.5540
1988,   1,  23,0.5765
1988,   1,  24,0.1991
1988,   1,  25,0.0234
1988,   1,  26,0.0305
1988,   1,  27,-0.2715
1988,   1,  28,-0.2181
1988,   1,  29,-0.0261
1988,   1,  30,1.0629
1988,   1,  31,2.0446
1988,   2,   1,0.8211
1988,   2,   2,0.3173
1988,   2,   3,0.5064
1988,   2,   4,0.1015
1988,   2,   5,0.2353
1988,   2,   6,0.4387
1988,   2,   7,0.3518
1988,   2,   8,0.6636
1988,   2,   9,1.0450
1988,   2,  10,1.4677
1988,   2,  11,0.1197
1988,   2,  12,0.0214
1988,   2,  13,0.4629
1988,   2,  14,0.2511
1988,   2,  15,0.1422
1988,   2,  16,0.6574
1988,   2,  17,0.1858
1988,   2,  18,2.2287
1988,   2,  19,0.1824
1988,   2,  20,0.2390
1988,   2,  21,0.6998
1988,   2,  22,0.9606
1988,   2,  23,0.2380
1988,   2,  24,-0.0704
1988,   2,  25,-0.0636
1988,   2,  26,-0.0569
1988,   2,  27,-0.0501
1988,   2,  28,-0.0433
1988,   2,  29,-0.0366
1988,   3,   1,-0.0298
1988,   3,   2,-0.0230
1988,   3,   3,-0.0163
1988,   3,   4,-0.0095
1988,   3,   5,-0.0027
1988,   3,   6,0.0041
1988,   3,   7,0.0108
1988,   3,   8,0.0176
1988,   3,   9,0.0244
1988,   3,  10,0.0311
1988,   3,  11,0.0379
1988,   3,  12,0.0447
1988,   3,  13,0.0514
1988,   3,  14,0.2936
1988,   3,  15,0.9310
1988,   3,  16,0.8253
1988,   3,  17,0.5573
1988,   3,  18,0.1000
1988,   3,  19,0.3531
1988,   3,  20,0.3293
1988,   3,  21,1.2186
1988,   3,  22,0.9433
1988,   3,  23,1.2893
1988,   3,  24,2.4565
1988,   3,  25,1.3258
1988,   3,  26,0.4442
1988,   3,  27,1.7205
1988,   3,  28,1.8896
1988,   3,  29,0.4249
1988,   3,  30,1.5657
1988,   3,  31,0.0792
1988,   4,   1,0.0096
1988,   4,   2,0.1501
1988,   4,   3,1.1352
1988,   4,   4,1.9428
1988,   4,   5,0.5665
1988,   4,   6,0.3305
1988,   4,   7,1.6066
1988,   4,   8,1.5166
1988,   4,   9,0.3503
1988,   4,  10,-0.0053
1988,   4,  11,0.3289
1988,   4,  12,0.4746
1988,   4,  13,0.8177
1988,   4,  14,0.0733
1988,   4,  15,0.0080
1988,   4,  16,1.8539
1988,   4,  17,2.0764
1988,   4,  18,1.1361
1988,   4,  19,-0.3931
1988,   4,  20,-0.2546
1988,   4,  21,-0.0616
1988,   4,  22,1.0474
1988,   4,  23,0.2225
1988,   4,  24,1.0318
1988,   4,  25,1.2252
1988,   4,  26,0.4650
1988,   4,  27,-0.2537
1988,   4,  28,-0.1255
1988,   4,  29,0.5268
1988,   4,  30,5.3252
1988,   5,   1,6.1987
1988,   5,   2,0.7431
1988,   5,   3,0.7964
1988,   5,   4,2.1126
1988,   5,   5,1.4124
1988,   5,   6,0.5855
1988,   5,   7,0.2493
1988,   5,   8,0.4443
1988,   5,   9,0.9194
1988,   5,  10,0.9433
1988,   5,  11,1.0708
1988,   5,  12,1.4791
1988,   5,  13,1.8242
1988,   5,  14,1.3698
1988,   5,  15,0.5204
1988,   5,  16,0.7861
1988,   5,  17,3.0062
1988,   5,  18,2.7523
1988,   5,  19,0.6375
1988,   5,  20,0.5912
1988,   5,  21,0.5295
1988,   5,  22,1.4105
1988,   5,  23,1.8574
1988,   5,  24,1.3299
1988,   5,  25,1.6527
1988,   5,  26,1.4488
1988,   5,  27,1.4675
1988,   5,  28,1.0535
1988,   5,  29,2.5857
1988,   5,  30,2.7058
1988,   5,  31,0.7329
1988,   6,   1,1.1688
1988,   6,   2,1.1237
1988,   6,   3,1.3759
1988,   6,   4,1.7552
1988,   6,   5,1.6938
1988,   6,   6,0.6851
1988,   6,   7,0.0951
1988,   6,   8,0.6712
1988,   6,   9,0.8866
1988,   6,  10,1.1263
1988,   6,  11,1.1616
1988,   6,  12,1.4858
1988,   6,  13,0.7189
1988,   6,  14,0.1943
1988,   6,  15,0.0298
1988,   6,  16,-0.1108
1988,   6,  17,0.3514
1988,   6,  18,0.3182
1988,   6,  19,-0.2680
1988,   6,  20,-0.0934
1988,   6,  21,0.1529
1988,   6,  22,0.3916
1988,   6,  23,0.1060
1988,   6,  24,-0.1493
1988,   6,  25,-0.0263
1988,   6,  26,1.5926
1988,   6,  27,1.1008
1988,   6,  28,1.4879
1988,   6,  29,0.9944
1988,   6,  30,0.4480
1988,   7,   1,0.1412
1988,   7,   2,0.0023
1988,   7,   3,0.0743
1988,   7,   4,0.6201
1988,   7,   5,1.5117
1988,   7,   6,1.1964
1988,   7,   7,0.6009
1988,   7,   8,1.1772
1988,   7,   9,1.2549
1988,   7,  10,0.2850
1988,   7,  11,0.2833
1988,   7,  12,0.5768
1988,   7,  13,1.3061
1988,   7,  14,0.9128
1988,   7,  15,1.0031
1988,   7,  16,0.6044
1988,   7,  17,0.0290
1988,   7,  18,-0.0661
1988,   7,  19,0.0071
1988,   7,  20,-0.0470
1988,   7,  21,0.4110
1988,   7,  22,0.6828
1988,   7,  23,0.3463
1988,   7,  24,0.0985
1988,   7,  25,0.6909
1988,   7,  26,0.8055
1988,   7,  27,0.3428
1988,   7,  28,0.3129
1988,   7,  29,0.4171
1988,   7,  30,0.1626
1988,   7,  31,0.0413
1988,   8,   1,0.2022
1988,   8,   2,0.1093
1988,   8,   3,0.0988
1988,   8,   4,0.5200
1988,   8,   5,0.6158
1988,   8,   6,0.5318
1988,   8,   7,0.6869
1988,   8,   8,0.7605
1988,   8,   9,0.8523
1988,   8,  10,0.2775
1988,   8,  11,0.1941
1988,   8,  12,0.2543
1988,   8,  13,0.7051
1988,   8,  14,1.0224
1988,   8,  15,1.6693
1988,   8,  16,1.3712
1988,   8,  17,0.8941
1988,   8,  18,0.3648
1988,   8,  19,0.5818
1988,   8,  20,0.0032
